id,nom
1,Bas-Rhin,Alsace
2,Haut-Rhin,Alsace
3,Médoc,Bordeaux
4,Graves,Bordeaux
5,Entre-deux-Mers,Bordeaux
6,Sauternes,Bordeaux
7,Libourne,Bordeaux
8,Blaye-Bourg,Bordeaux
9,Crus du beaujolais
10,Beaujolais Villages
11,Beaujolais
12,Chablis,Bourgogne
13,Côte de Nuits,Bourgogne
14,Côte de Beaune,Bourgogne
15,Côte chalonnaise, Bourgogne
16,Mâcon,Bourgogne
17,Montagne de Reims,Champagne
18,Vallée de la Marne,Champagne
19,Côte des Blancs,Champagne
20,Côte des Bar,Champagne
21,Côte de Sézanne,Champagne
22,Vitry-le-François,Champagne
23,Provence,Provence-Corse
24,Corse,Provence-Corse
25,Côtes du Jura,Jura
26,Arbois,Jura
27,Languedoc,Languedoc-Roussillon
28,Roussillon,Languedoc-Roussillon
29,Meuse,Lorraine
30,Moselle,Lorraine
31,Toul,Lorraine
32,Nantes,Loire
33,Anjou-Saumur,Loire
34,Touraine,Loire
35,Centre,Loire
36,Auvergne,Loire
37,Rhône septentrional,Rhône
38,Rhône méridional,Rhône
39,Coteaux du Lyonnais,Rhône
40,Savoie,Savoie-Bugey
41,Bugey,Savoie-Bugey
42,Bergerac,Sud-Ouest
43,Cahors,Sud-Ouest
44,Aveyron,Sud-Ouest
45,Marmande,Sud-Ouest
46,Agen,Sud-Ouest
47,Toulouse,Sud-Ouest
48,Chalosse,Sud-Ouest
49,Béarn,Sud-Ouest
50,Pays Basque,Sud-Ouest













